frame,X,Y,Z
472,42.8620,91.8566,47.9818
473,42.8616,91.9249,48.0300
474,42.9052,91.8583,48.0346
475,42.9307,91.8545,48.0457
476,42.9494,91.7163,47.9827
477,42.8541,91.6426,48.0595
478,42.7991,91.4902,48.0803
479,42.9562,91.3464,48.0075
480,43.1173,91.0447,47.9147
481,43.3400,90.7407,47.9083
482,43.5761,90.6765,47.8958
483,43.7192,90.5658,47.8714
484,43.7441,90.4263,47.8387
485,43.8217,90.2991,47.8480
486,43.8236,90.3664,47.8864
487,43.8886,90.3801,47.8662
488,44.0967,90.1938,47.8874
489,44.3059,89.9583,47.9488
490,44.5351,89.7658,48.0513
491,44.8193,89.7583,47.9883
492,45.0297,89.7292,48.0595
493,45.2605,89.7663,48.0406
494,45.3739,89.9602,48.1070
495,45.4136,90.2949,48.3495
496,45.4605,90.3879,48.4701
497,45.5992,90.1652,48.4413
498,45.8547,89.8347,48.3047
499,46.0295,89.6007,48.2148
500,46.2199,89.3534,48.1372
501,46.3558,89.1248,48.1103
502,46.4180,88.9152,48.0770
503,46.4339,88.7806,48.0926
504,46.4212,88.7717,48.1184
505,46.5414,88.6241,48.1027
506,46.9110,88.2516,48.0318
507,47.1988,87.8933,47.9208
508,47.2867,87.7491,47.8694
509,47.3777,87.7546,47.9367
510,47.4706,87.8499,48.0753
511,47.5888,87.9080,48.1597
512,47.8282,87.9263,48.1331
513,48.1165,87.9228,48.1921
514,48.3953,87.8057,48.2405
515,48.6064,87.6279,48.2451
516,48.7337,87.4851,48.2394
517,48.7470,87.4345,48.2432
518,48.7135,87.3146,48.2999
519,48.6530,87.2588,48.2610
520,48.6605,87.1178,48.2133
521,48.8125,86.9189,48.1984
522,49.0515,86.7381,48.1394
523,49.2372,86.5943,48.0965
524,49.3546,86.2194,48.0035
525,49.4460,85.9504,47.9757
526,49.5203,85.8169,48.0039
527,49.6726,85.6027,47.9532
528,49.8087,85.2860,47.9177
529,49.9571,84.9251,47.8195
530,50.1073,84.7372,47.8062
531,50.1990,84.6942,47.6625
532,50.1923,84.6314,47.5666
533,50.2507,84.5947,47.5103
534,50.3663,84.6737,47.5394
535,50.5809,84.7150,47.5959
536,50.7762,84.6134,47.5252
537,51.0628,84.4552,47.4248
538,51.2749,84.4331,47.3822
539,51.4453,84.3484,47.3407
540,51.4876,84.2858,47.1979
541,51.4459,84.5081,47.1339
542,51.3531,84.9374,47.1254
543,51.3310,85.5923,47.2136
544,51.2969,85.9850,47.2661
545,51.2569,86.1926,47.2528
546,51.1912,86.3610,47.2163
547,51.1488,86.6063,47.2280
548,51.1870,86.7713,47.1641
549,51.2080,86.8895,47.2064
550,51.1578,87.0484,47.1752
551,51.1406,87.4963,47.2770
552,51.2297,88.0720,47.3353
553,51.3652,88.4463,47.4164
554,51.3423,88.6693,47.4630
555,51.1614,88.9784,47.3771
556,50.9643,89.4150,47.3827
557,50.8642,89.7771,47.4478
558,50.7588,90.1740,47.5281
559,50.6100,90.5190,47.5998
560,50.7064,90.8900,47.6081
561,50.9697,91.2157,47.6784
562,51.2519,91.4491,47.7316
563,51.2963,91.5872,47.7610
564,51.3052,91.6673,47.6255
565,51.3321,91.6797,47.5363
566,51.3834,91.9678,47.5869
567,51.2901,92.2446,47.4873
568,51.2334,92.4467,47.4360
569,51.2166,92.7041,47.4753
570,51.2208,93.1834,47.5750
571,51.1177,93.5415,47.6496
572,50.9522,93.8076,47.6285
573,50.8995,93.7600,47.5302
574,50.9683,93.9134,47.5153
575,51.0438,94.4112,47.5637
576,51.1262,94.9714,47.6163
577,51.2172,95.3081,47.6487
578,51.2085,95.5897,47.6476
